BatchA:

Corrupted Frame Report - Tue 17 Jun 14:01:09 CEST 2025
---------------------------------
974_C_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
974_C_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.68s
979_C_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
979_C_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
979_C_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
979_C_s3_rm_7.4kHz.mpg: 1 corrupted frames, duration: 2295.84s
979_C_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
979_C_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
979_C_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
979_C_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
979_C_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
979_C_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
996_C_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
996_C_s1_rp_12.4kHz.mpg: 1 corrupted frames, duration: 1080.84s
996_C_s2_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
996_C_s3_rp_12.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
996_C_s4_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
996_C_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
996_C_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
996_C_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
996_C_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.76s
996_C_s9_rp_12.4kHz.mpg: 2 corrupted frames, duration: 2280.76s

Batch D:

Corrupted Frame Report - Wed 18 Jun 12:23:12 CEST 2025
---------------------------------
1010_D_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1010_D_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
1010_D_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
1010_D_s3_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
1010_D_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1010_D_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1010_D_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1010_D_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1010_D_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1010_D_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.72s
1027_D_s10_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1027_D_s1_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1080.68s
1027_D_s2_rp_12.4kHz.mpg: 1 corrupted frames, duration: 1080.88s
1027_D_s3_rp_12.4kHz.mpg: 2 corrupted frames, duration: 2295.76s
1027_D_s4_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
1027_D_s5_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1027_D_s6_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.72s
1027_D_s7_rp_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1027_D_s8_rp_12.4kHz.mpg: 0 corrupted frames, duration: 900.64s
1027_D_s9_rp_12.4kHz.mpg: 1 corrupted frames, duration: 2280.68s
1033_D_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 905.12s
1033_D_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
1033_D_s2_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1080.64s
1033_D_s3_rm_12.4kHz.mpg: 2 corrupted frames, duration: 2295.80s
1033_D_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1033_D_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1033_D_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1033_D_s7_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1620.80s
1033_D_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1033_D_s9_rm_12.4kHz.mpg: 8 corrupted frames, duration: 2280.84s
1038_D_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 905.12s
1038_D_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
1038_D_s2_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1080.88s
1038_D_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
1038_D_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1038_D_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1038_D_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1038_D_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1038_D_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1038_D_s9_rm_12.4kHz.mpg: 3 corrupted frames, duration: 2280.76s
1047_D_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
1047_D_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1047_D_s2_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
1047_D_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.76s
1047_D_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1047_D_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1047_D_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
1047_D_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
1047_D_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1047_D_s9_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
1050_D_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 904.92s
1050_D_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.80s
1050_D_s3_rm_7.4kHz.mpg: 1 corrupted frames, duration: 2295.76s
1050_D_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1050_D_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1050_D_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1050_D_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
1050_D_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
1050_D_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
942_D_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
942_D_s1_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
942_D_s2_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
942_D_s3_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
942_D_s4_rp_7.4kHz.mpg: 1 corrupted frames, duration: 1620.80s
942_D_s5_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
942_D_s6_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
942_D_s7_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
942_D_s8_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
942_D_s9_rp_7.4kHz.mpg: 1 corrupted frames, duration: 2280.72s
953_D_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 904.20s
953_D_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
953_D_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
953_D_s3_rm_7.4kHz.mpg: 2 corrupted frames, duration: 2295.76s
953_D_s4_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
953_D_s5_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1620.84s
953_D_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
953_D_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
953_D_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
953_D_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
986_D_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.76s
986_D_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.84s
986_D_s2_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1080.88s
986_D_s3_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
986_D_s4_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
986_D_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
986_D_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
986_D_s7_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1620.84s
986_D_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.76s
986_D_s9_rm_12.4kHz.mpg: 5 corrupted frames, duration: 2280.80s


Batch E:

Corrupted Frame Report - Wed 18 Jun 13:35:05 CEST 2025
---------------------------------
1065_E_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
